subject,resp.keys,resp.rt,text,letterColor,group
1,red,0.7099,green,green,I
1,red,0.4665,green,blue,I
1,red,0.1611,blue,red,I
1,red,0.0462,red,red,I
1,red,0.1017,red,green,I
1,red,0.0201,blue,blue,I
1,red,0.0679,green,green,I
1,red,8e-04,green,blue,I
1,red,0.0471,red,red,I
1,red,0.2805,red,green,I
1,red,7e-04,blue,red,I
1,red,0.051,blue,blue,I
1,red,0.4705,green,blue,I
1,red,0.3001,red,green,I
1,red,0.1761,blue,blue,I
1,red,0.264,green,green,I
1,red,0.1299,red,red,I
1,red,0.0473,blue,red,I
1,red,0.1162,blue,red,I
1,red,0.0924,green,green,I
1,red,0.0497,red,red,I
1,red,0.0302,green,blue,I
1,red,0.0338,blue,blue,I
1,red,0.0426,red,green,I
1,red,0.052,green,blue,I
1,red,0.0205,red,green,I
1,red,0.0163,blue,red,I
1,red,0.0834,green,green,I
1,red,0.0796,blue,blue,I
1,red,0.0452,red,red,I
2,red,28.7395,blue,red,I
2,green,1.8667,green,blue,I
2,blue,0.4893,red,red,I
2,blue,0.7186,red,green,I
2,green,0.4841,blue,blue,I
2,red,0.4349,green,green,I
2,green,0.3717,red,red,I
2,blue,0.234,red,green,I
2,green,0.048099999,blue,blue,I
2,green,0.3846,green,blue,I
3,blue,0.930700001,green,blue,I
3,blue,0.5714,blue,blue,I
3,green,0.5992,green,green,I
3,green,0.7632,red,green,I
3,red,0.6039,red,red,I
3,red,0.7655,blue,red,I
3,red,0.7354,red,red,I
3,red,0.941200001,blue,red,I
3,green,0.8008,red,green,I
3,blue,0.907400001,blue,blue,I
3,blue,0.5534,green,blue,I
3,green,0.518200001,green,green,I
3,green,0.418700001,red,green,I
3,red,0.5244,red,red,I
3,blue,0.4092,green,blue,I
3,green,0.5846,green,green,I
3,red,0.5984,blue,red,I
3,blue,0.784700001,blue,blue,I
3,green,0.6015,green,green,I
3,green,1.1642,red,green,I
3,red,0.6309,red,red,I
3,blue,0.5132,blue,blue,I
3,red,0.63,blue,red,I
3,blue,0.6375,green,blue,I
3,green,0.701900001,red,green,I
3,red,0.7074,red,red,I
3,red,0.4734,blue,red,I
3,blue,0.6402,green,blue,I
3,green,0.7468,green,green,I
3,blue,0.652900001,blue,blue,I
4,blue,1.163,blue,blue,I
4,green,0.936,red,red,I
4,red,0.312,red,green,I
5,red,2.357,red,green,I
5,blue,3.3745,blue,blue,I
5,red,1.4458,red,red,I
6,green,0.7119,red,green,I
6,green,0.811,green,green,I
6,blue,0.6994,blue,blue,I
6,red,0.5251,red,red,I
6,blue,0.8815,green,blue,I
6,red,0.5928,blue,red,I
6,green,0.467,green,green,I
6,blue,0.57,green,blue,I
6,blue,0.5583,blue,blue,I
6,red,0.569,blue,red,I
6,green,0.581,red,green,I
6,red,0.5351,red,red,I
6,red,0.5497,red,red,I
6,green,0.5455,red,green,I
6,red,0.5161,blue,red,I
6,green,0.5368,green,green,I
6,blue,0.4693,green,blue,I
6,blue,0.4935,blue,blue,I
6,blue,0.4843,blue,blue,I
6,blue,0.4907,green,blue,I
6,green,0.4732,green,green,I
6,red,0.4401,blue,red,I
6,green,0.5143,red,green,I
6,red,0.478,red,red,I
6,red,0.5028,red,red,I
6,blue,0.4992,green,blue,I
6,red,0.4649,blue,red,I
6,green,0.4867,red,green,I
6,green,0.4995,green,green,I
6,blue,0.4528,blue,blue,I
8,green,0.2077,red,green,I
8,blue,0.0254,green,blue,I
8,green,32.4283,blue,blue,I
8,green,4.4328,blue,red,I
8,red,0.685,red,red,I
8,blue,0.6522,green,green,I
8,red,1.4343,green,blue,I
8,blue,2.695,red,red,I
8,blue,2.8763,blue,blue,I
8,red,0.8558,blue,red,I
8,blue,2.5066,red,green,I
8,red,1.2555,green,green,I
8,blue,1.398,blue,red,I
8,red,1.6301,blue,blue,I
8,red,1.4201,red,red,I
8,blue,1.5831,green,blue,I
8,blue,0.8802,green,green,I
8,blue,1.5305,red,green,I
8,red,0.6837,red,red,I
8,blue,1.4157,red,green,I
8,blue,3.0005,blue,red,I
8,red,1.2373,blue,blue,I
8,red,4.133,green,green,I
8,blue,1.013,green,blue,I
8,blue,1.2172,red,green,I
8,blue,0.7983,blue,red,I
8,blue,0.9497,green,blue,I
8,red,1.0494,blue,blue,I
8,red,0.7642,green,green,I
8,red,0.4495,red,red,I
9,green,3.888,red,green,I
9,blue,2.001,green,blue,I
9,blue,1.6201,blue,blue,I
9,green,1.5861,green,green,I
9,red,1.3412,red,red,I
9,red,1.1899,blue,red,I
9,green,1.5213,red,green,I
9,red,1.3025,blue,red,I
9,green,1.1817,green,green,I
9,blue,1.0402,blue,blue,I
9,red,1.755,red,red,I
9,blue,2.039,green,blue,I
9,blue,1.3492,green,blue,I
9,green,1.5849,green,green,I
9,red,1.5377,red,red,I
9,red,1.4409,blue,red,I
9,green,1.7078,red,green,I
9,blue,1.2396,blue,blue,I
9,blue,1.3942,green,blue,I
9,red,1.4341,blue,red,I
9,green,1.4485,red,green,I
9,blue,1.6474,blue,blue,I
9,red,1.4175,green,green,I
9,red,2.0207,red,red,I
9,blue,1.2198,green,blue,I
9,red,1.6103,red,red,I
9,green,1.2254,green,green,I
9,blue,1.2032,blue,blue,I
9,red,1.3272,blue,red,I
9,green,1.3546,red,green,I
11,red,0.473,blue,red,I
11,green,0.408,red,green,I
11,green,0.476,green,green,I
11,blue,0.605,blue,blue,I
11,blue,0.625,green,blue,I
11,red,0.542,red,red,I
11,green,0.442,green,green,I
11,red,0.594,red,red,I
