student_id,ans_labels,ans,sub_ind,n_correct,n_total,score,penalty
46576835,ans_1a,correct,1,25,25,100,1
46576835,ans_1b,correct,1,25,25,100,1
46576835,ans_1c,correct,1,25,25,100,1
46576835,ans_1d,correct,1,25,25,100,1
46576835,ans_2a,correct,1,25,25,100,1
46576835,ans_2b,correct,1,25,25,100,1
46576835,ans_2c,correct,1,25,25,100,1
46576835,ans_2d,correct,1,25,25,100,1
46576835,ans_2e,correct,1,25,25,100,1
46576835,ans_2f,correct,1,25,25,100,1
46576835,ans_2g,correct,1,25,25,100,1
46576835,ans_2h,correct,1,25,25,100,1
46576835,ans_3a,correct,1,25,25,100,1
46576835,ans_3b,correct,1,25,25,100,1
46576835,ans_3c,correct,1,25,25,100,1
46576835,ans_3d,correct,1,25,25,100,1
46576835,ans_3e,correct,1,25,25,100,1
46576835,ans_3f,correct,1,25,25,100,1
46576835,ans_3g,correct,1,25,25,100,1
46576835,ans_3h,correct,1,25,25,100,1
46576835,ans_4a,correct,1,25,25,100,1
46576835,ans_4b,correct,1,25,25,100,1
46576835,ans_4c,correct,1,25,25,100,1
46576835,ans_4d,correct,1,25,25,100,1
46576835,ans_4e,correct,1,25,25,100,1
47002905,ans_1a,correct,2,23,25,92,1
47002905,ans_1b,correct,2,23,25,92,1
47002905,ans_1c,correct,2,23,25,92,1
47002905,ans_1d,correct,2,23,25,92,1
47002905,ans_2a,correct,2,23,25,92,1
47002905,ans_2b,correct,2,23,25,92,1
47002905,ans_2c,correct,2,23,25,92,1
47002905,ans_2d,correct,2,23,25,92,1
47002905,ans_2e,incorrect,2,23,25,92,1
47002905,ans_2f,correct,2,23,25,92,1
47002905,ans_2g,incorrect,2,23,25,92,1
47002905,ans_2h,correct,2,23,25,92,1
47002905,ans_3a,correct,2,23,25,92,1
47002905,ans_3b,correct,2,23,25,92,1
47002905,ans_3c,correct,2,23,25,92,1
47002905,ans_3d,correct,2,23,25,92,1
47002905,ans_3e,correct,2,23,25,92,1
47002905,ans_3f,correct,2,23,25,92,1
47002905,ans_3g,correct,2,23,25,92,1
47002905,ans_3h,correct,2,23,25,92,1
47002905,ans_4a,correct,2,23,25,92,1
47002905,ans_4b,correct,2,23,25,92,1
47002905,ans_4c,correct,2,23,25,92,1
47002905,ans_4d,correct,2,23,25,92,1
47002905,ans_4e,correct,2,23,25,92,1
45966710,ans_1a,correct,3,16,25,64,1
45966710,ans_1b,incorrect,3,16,25,64,1
45966710,ans_1c,correct,3,16,25,64,1
45966710,ans_1d,incorrect,3,16,25,64,1
45966710,ans_2a,correct,3,16,25,64,1
45966710,ans_2b,correct,3,16,25,64,1
45966710,ans_2c,correct,3,16,25,64,1
45966710,ans_2d,correct,3,16,25,64,1
45966710,ans_2e,correct,3,16,25,64,1
45966710,ans_2f,correct,3,16,25,64,1
45966710,ans_2g,incorrect,3,16,25,64,1
45966710,ans_2h,incorrect,3,16,25,64,1
45966710,ans_3a,incorrect,3,16,25,64,1
45966710,ans_3b,incorrect,3,16,25,64,1
45966710,ans_3c,correct,3,16,25,64,1
45966710,ans_3d,incorrect,3,16,25,64,1
45966710,ans_3e,correct,3,16,25,64,1
45966710,ans_3f,correct,3,16,25,64,1
45966710,ans_3g,incorrect,3,16,25,64,1
45966710,ans_3h,correct,3,16,25,64,1
